Timestamp,XAGUSD_Open,XAGUSD_High,XAGUSD_Low,XAGUSD_Close,XAGUSD_Trend
2008-10-03 00:00:00,10.774,10.945,10.694,10.851,-1.0
2008-10-06 00:00:00,11.144,11.287,10.792,10.847,1.0
2008-10-07 00:00:00,11.107,11.205,10.921,11.099,1.0
2008-10-08 00:00:00,11.465,11.655,11.341,11.361,1.0
2008-10-09 00:00:00,11.785,11.828,11.533,11.643,1.0
2008-10-10 00:00:00,12.13,12.338,12.011,12.14,-1.0
2008-10-13 00:00:00,10.072,10.375,10.051,10.28,1.0
2008-10-14 00:00:00,10.839,11.084,10.741,10.925,-1.0
2008-10-15 00:00:00,11.013,11.046,10.783,10.876,-1.0
2008-10-16 00:00:00,10.059,10.207,9.857,9.977,-1.0
2008-10-17 00:00:00,9.586,9.691,9.356,9.581,1.0
2008-10-20 00:00:00,9.383,9.742,9.322,9.724,1.0
2008-10-21 00:00:00,9.751,10.096,9.747,10.071,-1.0
2008-10-22 00:00:00,10.011,10.155,9.845,9.978,-1.0
2008-10-23 00:00:00,9.37,9.504,9.196,9.384,1.0
2008-10-24 00:00:00,9.594,9.752,9.511,9.643,-1.0
2008-10-27 00:00:00,9.417,9.447,9.155,9.305,-1.0
2008-10-28 00:00:00,8.971,9.184,8.912,9.066,1.0
2008-10-29 00:00:00,9.406,9.433,9.034,9.141,1.0
2008-10-30 00:00:00,9.739,10.082,9.704,9.963,-1.0
2008-10-31 00:00:00,9.623,9.815,9.249,9.454,1.0
2008-11-03 00:00:00,9.745,9.896,9.605,9.864,-1.0
2008-11-04 00:00:00,9.666,9.861,9.622,9.705,1.0
2008-11-05 00:00:00,10.131,10.269,9.888,10.003,1.0
2008-11-06 00:00:00,10.214,10.31,10.029,10.106,-1.0
2008-11-07 00:00:00,9.94,10.021,9.737,9.818,1.0
2008-11-10 00:00:00,10.112,10.275,10.012,10.205,-1.0
2008-11-11 00:00:00,10.084,10.279000000000002,9.961,10.086,-1.0
2008-11-12 00:00:00,9.674,9.822,9.582,9.732,-1.0
2008-11-13 00:00:00,9.154,9.377,9.077,9.276,1.0
2008-11-14 00:00:00,9.223,9.402,9.142,9.336,1.0
2008-11-17 00:00:00,9.422,9.63,9.279,9.501,-1.0
2008-11-18 00:00:00,9.274,9.362,9.127,9.233,1.0
2008-11-19 00:00:00,9.556,9.609,9.376,9.492,-1.0
2008-11-20 00:00:00,9.189,9.301,9.047,9.156,-1.0
2008-11-21 00:00:00,8.919,8.972999999999997,8.738999999999999,8.911,1.0
2008-11-24 00:00:00,9.652,9.671,9.399,9.471,1.0
2008-11-25 00:00:00,10.465,10.534,10.255999999999998,10.286,-1.0
2008-11-26 00:00:00,10.272,10.307,10.055,10.125,1.0
2008-11-27 00:00:00,10.184,10.328,10.095,10.191,1.0
2008-11-28 00:00:00,10.279000000000002,10.353,10.123,10.21,1.0
2008-12-01 00:00:00,10.145,10.336,10.024,10.247,-1.0
2008-12-02 00:00:00,9.194,9.402,9.119,9.319,1.0
2008-12-03 00:00:00,9.436,9.611,9.255,9.432,1.0
2008-12-04 00:00:00,9.599,9.746,9.439,9.603,-1.0
2008-12-05 00:00:00,9.373,9.562,9.325,9.469,-1.0
2008-12-08 00:00:00,9.439,9.58,9.335,9.461,1.0
2008-12-09 00:00:00,9.906,10.068,9.818,9.958,-1.0
2008-12-10 00:00:00,9.787,9.916,9.661,9.73,1.0
2008-12-11 00:00:00,10.126,10.229,9.977,10.074,1.0
2008-12-12 00:00:00,10.315,10.361,10.144,10.227,1.0
2008-12-15 00:00:00,10.296,10.414,10.191,10.268,1.0
2008-12-16 00:00:00,10.569,10.659,10.394,10.531,1.0
2008-12-17 00:00:00,11.300999999999998,11.341,11.02,11.102,1.0
2008-12-18 00:00:00,11.274,11.396,11.136,11.243,-1.0
2008-12-19 00:00:00,10.942,11.072,10.746,10.824000000000002,1.0
2008-12-22 00:00:00,10.715,11.044,10.709,10.967,-1.0
2008-12-23 00:00:00,10.775,10.879,10.628,10.769,-1.0
